Nom;Sexe;Naissance;Poids;Taille;Cote;Niveau;Club
Jules Robin;M;1981-10-22;69.6;173;tribord;loisir;
Mathis Bernard;M;1986-01-24;94.8;185;tribord;loisir;
Lucas Masson;M;1965-04-04;73.0;183;tribord;loisir;
Nicolas Lemoine;M;1974-08-22;75.0;180;babord;loisir;
Gabriel Lemoine;M;1972-07-14;79.5;180;babord;loisir;
Noah Gaillard;M;1973-02-22;79.9;173;tribord;loisir;
Ethan Roger;M;1960-09-01;75.0;169;tribord;loisir;
Thierry Charpentier;M;1989-12-18;73.8;183;none;loisir;
Laurent Boucher;M;1954-01-26;77.1;168;babord;loisir;
Bernard Adam;M;1979-07-26;68.2;169;tribord;loisir;
Thomas Michel;M;1974-08-17;60.7;166;tribord;loisir;
Henri Faure;M;1952-12-27;75.4;176;tribord;loisir;
Philippe Robert;M;1980-02-10;75.9;176;tribord;loisir;
Raphael Leclerc;M;1968-04-10;71.8;175;tribord;loisir;
Tom Perrin;M;1955-10-27;70.7;177;tribord;loisir;
Christophe Guillaume;M;1985-05-07;80.3;178;tribord;loisir;
Leo Dumont;M;1974-12-16;73.7;174;babord;loisir;
Jacques Bodin;M;1956-06-30;78.9;175;none;loisir;
Didier Bourgeois;M;1957-05-31;81.7;180;none;loisir;
Leo Chevalier;M;1974-03-03;77.8;174;babord;loisir;
Yves Colin;M;1966-06-16;63.0;166;none;loisir;
Louis Duval;M;1965-08-17;64.4;178;tribord;loisir;
Daniel Mercier;M;1956-03-19;72.0;173;babord;loisir;
Romain Colin;M;1970-05-12;79.4;181;none;loisir;
Jacques Lefevre;M;1961-01-19;87.1;176;babord;loisir;
Raphael Bonnet;M;1960-11-23;76.3;179;babord;loisir;
Christophe Rousseau;M;1960-07-20;74.7;179;babord;loisir;
Olivier Marchand;M;1967-04-17;73.2;174;tribord;loisir;
Adrien Blanc;M;1975-06-23;77.4;181;babord;loisir;
Clement Moulin;M;1989-03-13;76.2;187;tribord;loisir;
Julien Bodin;M;1962-08-06;74.9;176;tribord;loisir;
Laurent Dumas;M;1966-10-26;71.4;174;none;loisir;
Jules Fournier;M;1961-03-13;76.6;176;babord;loisir;
Nolan Petit;M;1951-02-02;76.1;182;tribord;loisir;
Gabriel Clement;M;1990-09-10;61.2;167;none;loisir;
Philippe Fournier;M;1989-10-18;86.1;187;babord;loisir;
Noah Boucher;M;1966-11-28;77.9;180;none;loisir;
Lucas Langlois;M;1951-01-10;85.5;180;babord;loisir;
Daniel Roussel;M;1983-11-27;82.2;183;none;loisir;
Simon Sanchez;M;1965-05-12;73.5;175;none;loisir;
Nicolas Leclerc;M;1950-11-30;75.4;174;babord;loisir;
Arthur Dupuy;M;1981-02-09;70.4;171;tribord;loisir;
Christophe Lemaire;M;1980-07-23;75.5;176;babord;loisir;
Hugo Lemoine;M;1990-08-11;72.8;178;tribord;loisir;
Clement Rousseau;M;1963-05-04;67.8;180;babord;loisir;
Pierre Legrand;M;1962-09-24;81.7;181;none;loisir;
Tom Leclerc;M;1967-09-13;78.0;171;tribord;loisir;
Adam Payet;M;1951-06-10;72.6;180;babord;loisir;
Daniel Roger;M;1956-08-30;76.8;184;tribord;loisir;
Philippe Clement;M;1951-12-24;80.2;178;babord;loisir;
Raphael Menard;M;1954-11-11;66.8;165;babord;loisir;
Patrick Sanchez;M;1981-05-14;79.9;178;tribord;loisir;
Laurent Fleury;M;1984-04-02;76.8;177;none;loisir;
Didier Lemoine;M;1990-01-25;75.9;181;tribord;loisir;
Christophe Maillard;M;1971-08-19;76.5;176;babord;loisir;
Thierry Perrin;M;1966-10-07;87.4;178;none;loisir;
Jules Lacroix;M;1963-09-27;69.2;173;babord;loisir;
Yves Caron;M;1952-09-09;77.4;177;tribord;loisir;
Adrien David;M;1964-01-14;69.4;168;tribord;loisir;
Yves Girard;M;1969-06-01;66.6;168;tribord;loisir;
Maxime Girard;M;1967-08-25;77.6;178;tribord;loisir;
Daniel Schmitt;M;1968-03-26;72.2;174;tribord;loisir;
Nathan Duval;M;1978-02-19;77.1;171;babord;loisir;
Adam Lopez;M;1959-06-26;69.4;177;babord;loisir;
Pierre Thomas;M;1984-04-01;84.2;184;none;loisir;
Sacha Giraud;M;1987-04-25;70.4;180;none;loisir;
Laurent Langlois;M;1955-01-07;64.0;169;babord;loisir;
Tom Lemoine;M;1976-07-29;73.3;169;babord;loisir;
Tom Renard;M;1956-04-22;76.9;177;none;loisir;
Sacha Roche;M;1990-06-24;81.5;184;babord;loisir;
Thomas Perrot;M;1959-12-29;84.0;183;tribord;loisir;
Simon Tessier;M;1957-10-21;71.0;171;tribord;loisir;
Raphael Blanchard;M;1984-12-31;89.6;188;none;loisir;
Adrien Navarro;M;1957-06-06;75.2;172;tribord;loisir;
Jacques Aubert;M;1981-10-31;84.9;184;babord;loisir;
Mathis Lefevre;M;1956-08-12;73.3;177;tribord;loisir;
Tom Maillard;M;1953-01-13;69.6;166;tribord;loisir;
Francois Guillaume;M;1980-01-04;65.5;170;tribord;loisir;
Olivier Guerin;M;1963-01-05;78.3;178;babord;loisir;
Thomas Leroy;M;1955-10-20;78.9;182;babord;loisir;
Ethan Blanc;M;1956-02-10;73.2;165;babord;loisir;
Enzo Philippe;M;1988-12-09;80.1;175;none;loisir;
Pascal Rousseau;M;1985-12-05;80.6;178;none;loisir;
Nathan Tessier;M;1989-07-19;69.5;173;none;loisir;
Ethan Meunier;M;1980-12-15;89.6;186;tribord;loisir;
Louis Bonnet;M;1962-05-31;73.2;175;babord;loisir;
Paul Robert;M;1980-06-23;74.9;170;tribord;loisir;
Adam Faure;M;1990-04-24;66.9;171;tribord;loisir;
Lucas Jean;M;1986-10-14;70.0;175;tribord;loisir;
Henri Lemaire;M;1986-04-15;81.1;183;babord;loisir;
Nolan Thomas;M;1988-03-26;80.3;190;tribord;loisir;
Christophe Schmitt;M;1963-08-04;70.2;171;tribord;loisir;
Gabriel Girard;M;1958-10-08;74.8;181;tribord;loisir;
Mathis Renaud;M;1989-12-22;83.5;192;tribord;loisir;
Alain Aubry;M;1990-06-23;84.1;183;tribord;loisir;
Gabriel Noel;M;1955-10-22;79.1;176;babord;loisir;
Simon Gautier;M;1956-06-14;70.6;176;babord;loisir;
Noah Sanchez;M;1968-06-22;71.0;175;tribord;loisir;
Thierry Renard;M;1960-07-22;84.2;184;babord;loisir;
Theo Lambert;M;1981-01-18;82.2;178;babord;loisir;
Sacha Gerard;M;1955-07-22;74.4;174;babord;loisir;
Raphael Navarro;M;1974-05-24;89.2;190;babord;loisir;
Pierre Pons;M;1988-11-02;79.1;183;tribord;loisir;
Philippe Moulin;M;1956-07-26;73.4;179;tribord;loisir;
Romain Bernard;M;1951-11-12;78.7;177;babord;loisir;
Julien Benoit;M;1989-03-05;69.7;177;tribord;loisir;
Nathan Henry;M;1965-06-21;71.9;174;none;loisir;
Antoine Olivier;M;1975-02-16;85.1;184;tribord;loisir;
Arthur Maillard;M;1974-04-25;76.5;177;tribord;loisir;
Mael Pons;M;1970-11-21;70.5;175;none;loisir;
Leo David;M;1964-11-10;83.0;177;babord;loisir;
Bernard Perrot;M;1983-02-22;77.8;172;tribord;loisir;
Laurent Aubry;M;1983-10-19;77.9;180;none;loisir;
Philippe Boyer;M;1966-11-02;84.0;183;none;loisir;
Maxime Herve;M;1965-03-04;78.5;182;tribord;loisir;
Mathis Michel;M;1973-08-27;72.2;174;none;loisir;
Michel Moulin;M;1952-05-20;72.5;170;babord;loisir;
Henri Marie;M;1966-08-11;79.0;176;tribord;loisir;
Leo Dumas;M;1955-07-07;82.7;178;babord;loisir;
Antoine Blanc;M;1976-01-24;77.7;182;none;loisir;
Leo Collet;M;1982-05-20;75.4;183;tribord;loisir;
Odile Lambert;F;1988-05-14;60.9;171;tribord;loisir;
Paulette Fontaine;F;1953-02-11;55.6;157;babord;loisir;
Clara Marie;F;1952-02-27;64.0;167;babord;loisir;
Helene Vincent;F;1971-11-29;63.1;164;tribord;loisir;
Valerie Martinez;F;1965-11-27;62.1;165;babord;loisir;
Christine Louis;F;1950-11-27;61.6;166;babord;loisir;
Patricia Guillaume;F;1986-03-04;68.8;170;tribord;loisir;
Catherine Gaillard;F;1956-02-24;63.3;161;tribord;loisir;
Valerie Gautier;F;1978-09-11;67.8;168;none;loisir;
Juliette Arnaud;F;1970-09-19;53.8;159;tribord;loisir;
Odile Perrot;F;1987-12-31;56.8;167;tribord;loisir;
Eva Lacroix;F;1981-06-09;52.6;161;babord;loisir;
Juliette Gautier;F;1983-09-01;67.3;168;tribord;loisir;
Audrey Payet;F;1982-05-15;64.0;166;tribord;loisir;
Dominique Duval;F;1982-07-20;62.2;164;none;loisir;
Jade Girard;F;1967-03-14;65.4;166;babord;loisir;
Camille Simon;F;1957-11-13;66.2;169;babord;loisir;
Christine Riviere;F;1983-12-23;71.2;166;tribord;loisir;
Lina Renard;F;1985-09-21;57.5;160;tribord;loisir;
Pauline Navarro;F;1988-03-31;67.2;174;babord;loisir;
Christine Richard;F;1957-09-27;67.9;169;babord;loisir;
Margaux Guerin;F;1959-05-27;66.8;173;tribord;loisir;
Emma Guillaume;F;1961-08-14;62.4;164;none;loisir;
Audrey Royer;F;1950-11-16;63.3;165;babord;loisir;
Lola Dubois;F;1957-11-18;66.1;167;tribord;loisir;
Catherine Picard;F;1986-02-26;64.4;169;babord;loisir;
Pauline Roux;F;1960-07-24;48.0;156;none;loisir;
Marie Francois;F;1954-12-20;63.1;167;none;loisir;
Anais Payet;F;1956-02-26;67.5;172;babord;loisir;
Pauline Benoit;F;1970-08-14;63.8;166;babord;loisir;
Eva Simon;F;1953-05-20;54.9;158;tribord;loisir;
Emma Brun;F;1981-03-23;58.4;158;none;loisir;
Anais Gauthier;F;1965-11-08;67.1;172;babord;loisir;
Brigitte Bourgeois;F;1980-04-30;61.4;166;tribord;loisir;
Lucie Dupuy;F;1988-03-01;57.1;163;tribord;loisir;
Monique Robert;F;1977-02-24;58.3;162;tribord;loisir;
Brigitte Philippe;F;1970-10-30;58.0;159;babord;loisir;
Valerie Renou;F;1986-07-03;59.4;163;babord;loisir;
Clara Brun;F;1972-11-13;67.6;169;babord;loisir;
Julie Hubert;F;1965-03-23;64.4;169;babord;loisir;
Helene Lambert;F;1961-02-10;60.3;167;none;loisir;
Francoise Pons;F;1976-09-30;57.8;164;tribord;loisir;
Helene Dupuy;F;1955-06-23;65.0;169;babord;loisir;
Lucie Leclerc;F;1969-09-25;66.1;163;none;loisir;
Helene Garnier;F;1986-02-09;60.6;167;babord;loisir;
Camille Menard;F;1964-11-18;63.0;162;babord;loisir;
Audrey Vidal;F;1983-12-30;52.7;167;tribord;loisir;
Zoe Thomas;F;1974-05-12;63.2;165;tribord;loisir;
Sarah Meyer;F;1971-11-03;60.4;165;tribord;loisir;
Amandine Henry;F;1979-03-04;58.1;165;tribord;loisir;
Manon Benoit;F;1956-08-09;59.4;164;none;loisir;
Charlotte Dupuis;F;1962-10-30;60.6;163;babord;loisir;
Sarah Guillaume;F;1963-04-15;68.0;172;none;loisir;
Eva Guillaume;F;1982-08-22;57.5;161;babord;loisir;
Catherine Roy;F;1975-07-30;58.6;162;babord;loisir;
Emma Philippe;F;1955-09-06;62.2;164;babord;loisir;
Jade Brun;F;1974-03-13;67.0;167;none;loisir;
Martine Lefevre;F;1971-02-02;69.1;170;none;loisir;
Nina Bodin;F;1970-05-06;63.3;167;none;loisir;
Claire Lambert;F;1955-04-06;58.9;163;tribord;loisir;
Nathalie Aubry;F;1973-01-18;64.0;170;tribord;loisir;
Claire Lemoine;F;1981-12-26;64.3;164;none;loisir;
Manon Collet;F;1981-03-12;65.5;171;babord;loisir;
Dominique Brun;F;1960-09-21;57.7;158;tribord;loisir;
Nathalie Louis;F;1966-10-30;60.2;161;babord;loisir;
Sarah Perrin;F;1978-09-09;60.1;163;none;loisir;
Eva Guerin;F;1960-11-03;56.1;160;babord;loisir;
Monique Jacquet;F;1953-04-19;67.3;171;tribord;loisir;
Amandine Guerin;F;1958-11-03;71.1;172;tribord;loisir;
Juliette Leroux;F;1979-07-13;65.9;167;none;loisir;
Anais Marchand;F;1986-11-16;59.8;166;babord;loisir;
Nina Perrin;F;1960-10-10;68.7;174;babord;loisir;
Chloe Guerin;F;1964-11-27;56.0;157;tribord;loisir;
Patricia Morel;F;1984-05-02;58.0;161;none;loisir;
Julie Petit;F;1970-05-14;59.9;164;tribord;loisir;
Paulette Joly;F;1985-08-03;59.8;162;none;loisir;
Sylvie Dumont;F;1958-08-07;75.1;178;none;loisir;
Amandine Robin;F;1988-10-16;60.8;175;babord;loisir;
Patricia Bodin;F;1981-01-24;61.0;162;tribord;loisir;
Margaux Lemaire;F;1983-06-11;60.7;163;tribord;loisir;
Marie Robert;F;1986-09-07;60.4;162;none;loisir;
Isabelle Brunet;F;1986-10-15;56.1;161;none;loisir;
Sophie Fabre;F;1957-08-05;59.6;162;babord;loisir;
Nina Meunier;F;1954-04-08;59.3;166;babord;loisir;
Elise Moreau;F;1955-07-20;57.4;159;tribord;loisir;
Louise Sanchez;F;1955-09-01;62.2;165;tribord;loisir;
Julie Fleury;F;1967-04-07;60.1;168;tribord;loisir;
Clara Gauthier;F;1974-12-29;51.2;166;babord;loisir;
Celine Joly;F;1986-05-23;56.9;164;tribord;loisir;
Sophie Philippe;F;1986-09-16;59.7;160;babord;loisir;
Emma Moulin;F;1987-02-09;60.2;166;none;loisir;
Zoe Riviere;F;1975-07-02;63.6;161;tribord;loisir;
Nathalie Blanchard;F;1954-09-27;56.6;160;tribord;loisir;
Valerie Guillot;F;1952-03-23;58.9;164;tribord;loisir;
Francoise Lacroix;F;1985-11-23;61.0;160;tribord;loisir;
Juliette Renaud;F;1985-07-16;61.1;158;tribord;loisir;
Zoe Legrand;F;1960-07-20;57.0;158;none;loisir;
Emma Joly;F;1955-08-04;59.2;165;tribord;loisir;
Sarah Langlois;F;1962-06-16;62.4;167;babord;loisir;
Brigitte Leclerc;F;1974-09-13;60.8;156;tribord;loisir;
Marie Tessier;F;1951-08-02;59.0;161;babord;loisir;
Anais Klein;F;1969-07-05;59.8;165;none;loisir;
Elise Bonnet;F;1959-01-01;68.3;167;none;loisir;
Francoise Guillaume;F;1959-05-24;68.4;169;none;loisir;
Sylvie Collet;F;1979-05-31;60.4;164;none;loisir;
Helene Lopez;F;1991-09-04;59.0;175;tribord;loisir;
Isabelle Royer;F;1962-11-24;62.4;164;babord;loisir;
Lina Navarro;F;1979-07-12;77.9;173;tribord;loisir;
Louise Gaillard;F;1961-07-02;68.0;162;tribord;loisir;
Camille Langlois;F;1954-11-04;63.0;168;babord;loisir;
Catherine Blanc;F;1981-09-07;60.0;161;tribord;loisir;
Charlotte Guillot;F;1978-10-02;70.7;167;babord;loisir;
Lina Mercier;F;1952-11-24;55.4;156;tribord;loisir;
Zoe Henry;F;1978-03-17;66.1;171;babord;loisir;
Valerie Vasseur;F;1962-10-07;62.4;165;babord;loisir;
Ines Brun;F;1988-05-26;62.8;169;none;loisir;
Clara Meunier;F;1968-04-29;63.4;170;tribord;loisir;
Margaux Rolland;F;1980-03-27;63.2;165;babord;loisir;
Jade Roussel;F;1975-10-19;69.0;170;babord;loisir;
Juliette Dumas;F;1988-12-17;66.4;177;tribord;loisir;
Manon Vasseur;F;1984-12-12;62.2;161;none;loisir;
Isabelle Robert;F;1990-11-04;53.6;162;tribord;loisir;
Zoe Roussel;F;1990-07-14;64.8;170;tribord;loisir;
Alice Fabre;F;1953-05-19;54.2;161;tribord;loisir;
Alice Chevalier;F;1973-11-04;65.3;165;babord;loisir;
Celine Vincent;F;1966-10-12;58.7;166;babord;loisir;
Nina Guillaume;F;1986-06-11;63.7;166;babord;loisir;
Julie Simon;F;1969-03-20;64.8;169;tribord;loisir;
Lucie Charpentier;F;1954-03-20;58.6;154;babord;loisir;
Lola Dufour;F;1963-07-21;57.1;160;none;loisir;
Sylvie Carpentier;F;1967-01-18;60.4;164;tribord;loisir;
Martine Simon;F;1981-02-14;61.2;161;tribord;loisir;
Eva Lemoine;F;1977-02-18;65.8;167;tribord;loisir;
Christine Perrin;F;1973-01-24;61.2;166;none;loisir;
Lola Sanchez;F;1990-12-09;64.0;166;tribord;loisir;
Catherine Mathieu;F;1983-10-04;66.4;170;tribord;loisir;
Jocelyne Schmitt;F;1966-07-04;58.1;165;tribord;loisir;
